Class Index,Title,Description
1,Killing of Filmmaker Yields Indictments in Netherlands,"Description: Dutch authorities have indicted seven people in murder of a provocative filmmaker. Theo Van Gogh made films critical of Islamic violence against women and insulted Christians, Jews and others."
1,Moves to rid schools of weapons,"Head teachers in England could gain powers to tackle pupils carrying weapons, under government plans."
1,Iraq #39;s top Shiite cleric returns home as fighting rages in Najaf,"Hoping to end weeks of fighting in Najaf, Iraq #39;s top Shiite cleric unexpectedly returned home from Britain on Wednesday armed with a new peace initiative and a call for Iraqis across the country to march on the holy city to demand an "
1,Suicide bomb blasts Green Zone,"A SUICIDE car bomb has ripped through a line of vehicles at a checkpoint outside the Green Zone today, killing 13 people as Iraq marked the first anniversary of Saddam Hussein #39;s capture."
1,Parliament Speaker to Succeed Arafat (AP),"AP - The Palestinian parliament speaker will become temporary president of the Palestinian Authority in the event of Yasser Arafat's death, PLO leaders decided Wednesday."
1,China wants Canada to hand over North Koreans who stormed embassy (Canadian Press),"Canadian Press - BEIJING (CP) - China urged the Canadian Embassy on Thursday to hand over 44 possible North Korean asylum-seekers, while officials said nine North Koreans who entered a U.S. school in Shanghai had been handed over to Chinese police."
1,Pakistani Troops Leaving Tribal Region (AP),AP - The Pakistan army said Saturday it will withdraw hundreds of troops from a tense tribal region near Afghanistan where Osama bin Laden and his top deputy were believed to be hiding.
1,Aid Group Threatens Afghanistan Pullout,"An aid group in Afghanistan said it was considering pulling out of part of the country after Taliban militants attacked its compound in a southern town yesterday, killing three people and engaging authorities in a gun battle."
1,Woman believed to be 1st to walk around Australia strides back to hometown (Canadian Press),"Canadian Press - MELBOURNE, Australia (AP) - A 36-year-old businesswoman was believed to be the first woman to walk around Australia on Friday after striding into her hometown of Melbourne to complete her 16,700-kilometre trek in 365 days."
1,Group claims execution of Italian hostages in Iraq: website (AFP),"AFP - A group calling itself the  quot;Jihad Organization quot; said it had  quot;slaughtered quot; two Italian female hostages in Iraq, in a statement posted on an Islamist website."
1,Dozens Slain During Bloody Day In Iraq,"RAMADI, Iraq -- Medical officials say fighting between US troops and Iraqi insurgents in the western city of Ramadi has killed at least eight civilians and wounded nearly 20 others."
1,Big Explosion Rocks Afghan Capital (AP),"AP - A big explosion rocked the center of the Afghan capital on Sunday, but there was no immediate word on the cause, the extent of damage or casualties."
1,One more feather in ISRO cap,India #39;s exclusive satellite for educational services -- Edusat -- was successfully placed into the Geostationary Orbit (GSO) on Monday.
1,Australia probes Iraq bomb blast that produced its first &lt;b&gt;...&lt;/b&gt;,"SYDNEY : An investigation has been ordered into whether the media was tipped off before a car bombing that caused Australia #39;s first casualties in the Iraq conflict, Foreign Minister Alexander Downer said."
1,"Japan, US sign missile defense cooperation memo",Japan and the United States signed an agreement Friday on the details of their joint development of a ballistic missile defense system.
1,"Gunbattle, Strike in Kashmir as Indian PM Visits"," SRINAGAR, India (Reuters) - Indian troops killed two  heavily armed rebels in the heart of Kashmir's biggest city on  Wednesday, and said the gunmen planned to attack a meeting  nearby which Prime Minister Manmohan Singh addressed just hours  later."
1,Iran not plotting Shiite  #39;crescent,"LONDON, Dec 11 (IranMania) - Iraqi Vice-President Ibrahim al-Jaafari refused to believe in remarks published Friday that Iran was attempting to influence Iraqi polls with the aim of creating a  quot;crescent quot; dominated by Shiites in the region."
1,Pakistani Jets Attack Militant Hideouts,"Pakistani jets on Thursday pounded a suspected training facility for foreign militants in a tribal area near the border with Afghanistan, senior intelligence and military officials said."
1,Sharon contacts Labor on govt coalition,Israeli Prime Minister Ariel Sharon has approached the opposition Labor party with a tentative offer to join his coalition in hopes of avoiding early elections and saving his Gaza withdrawal plan.
1,Tennis: Roddick makes semis,Andy Roddick beats Marat Safin in two tie-breaks to reach the Masters Cup semis.
1,Warsaw makes rare Hanukkah observance,"WARSAW -- Jewish community leaders and Warsaw officials lighted the candles of a large menorah in the center of the capital yesterday for Hanukkah, a rare public observance of a Jewish holiday in Poland. Israel's chief rabbi, Yona Metzger, chanted Hebrew prayers as he and Warsaw Deputy Mayor Andrzej Urbanski were lifted by an industrial crane to the top of ..."
1,Body of Egyptian Hostage Found in Iraq - Police," BAGHDAD (Reuters) - The body of an Egyptian who was  kidnapped in Iraq last month has been found in northern Iraq,  Iraqi police said on Sunday."
1,Parks Canada relieved union dropped plan for general strike (Canadian Press),Canadian Press - EDMONTON (CP) - Parks Canada managers are breathing a sigh of relief after threats by unionized employees to pull all workers off the job during the busy long weekend failed to materialize.
1,Friction Grows Between Japan and China (AP),"AP - Despite a thriving economic partnership, political ties between Japan and China are at their lowest ebb in years. The two countries are locked in disputes over World War II history, natural gas exploration and now a bold incursion by a Chinese nuclear submarine."
1,Cricket: England players' dismay,"England's players claim to have been used as ""political pawns"" over the Zimbabwe tour crisis."
1,Friday deadline set for hostages in Afghanistan,Militants threatening to kill three foreign hostages in Afghanistan said they would give officials until Friday to meet their demands that the United Nations withdraw from the country and the US release Guantanamo Bay prisoners 
1,Waging 'inner jihad' on an empty stomach,"In the final days of Ramadan, a Muslim reporter grapples with the double standard for female pilgrims."
1,Florida voters may have plenty time to elect next US president (AFP),"AFP - Florida elections supervisors want to give voters several days to elect candidates, a proposal offered after early voting in last month's presidential election apparently helped avoid a repeat of the 2000 election debacle."
1,Militants say 2d US hostage killed,"BAGHDAD -- An Iraqi extremist group linked to Al Qaeda said yesterday that it had killed a second American hostage, a day after a video recording showed the insurgents beheading another American captive. The group announced the slaying on an Islamist website in a statement laced with threats against the US presence in Iraq."
1,Al-Zarqawi Lieutenant Arrested in Mosul (AP),"AP - A lieutenant of Iraq's most feared terrorist leader Abu Musab al-Zarqawi was captured a few days ago in Mosul, the government's national security adviser said Thursday."
1,Talks Continue After China Hostage Deadline Passes," CHAGMALAI, Pakistan (Reuters) - Islamic militants holding  two Chinese engineers hostage in Pakistan threatened to kill  one on Monday unless security forces ended a siege of their  hideout, a tactic the interior minister said had echoes of  Iraq."
1, quot;Road-map quot; peace plan for Gaza Strip,"The Israeli government does not intend to honour the US-backed road map to peace in the Middle East once it has completed a planned pullout from Gaza, an Israeli newspaper reported today."
1,Russia Defense Minister in China Cooperation Talks,"Russian Defense Minister Sergei Ivanov met Chinese military leaders in Beijing Monday to discuss cooperation between China, a fast-rising military power, and its main foreign arms and weapons-technology supplier."
1,Tsunami disaster overshadows India's ATP season-opener (AFP),AFP - Generating relief funds for tsunami victims and gearing up for the new season is the players' aim as they prepare for the ATP Chennai Open.
1,Just 3 of 18 candidates for president attend debate,"KABUL, Afghanistan -- It was not exactly riveting: three candidates and the representatives of 12 others sat at a horseshoe-shaped table yesterday droning out near-identical speeches outlining plans to fight corruption, exploit the nation's untapped copper and gold resources, and improve pay for civil servants."
1,UN probing alleged abuse by staff in DRC,The United Nations is investigating around 150 allegations of sexual abuse by UN civilian staff and soldiers in the Democratic Republic of Congo.
1,Baghdad Rocket Attack Kills Two U.S. Soldiers,Two American soldiers were killed and five injured Monday in a rocket attack in Baghdad. The military said the incident occurred in the southern part of the city but provided no other details.
1,"Security Council, On Central African Peace Mission, Visits DR of &lt;b&gt;...&lt;/b&gt;","The United Nations Security Council, fresh from a rare session in Kenya to speed up efforts to resolve civil wars in Sudan, today visited the Democratic Republic of the Congo (DRC), another conflict-riven country where the world body is seeking to bring "
1,Blair: Labor will not buckle,"Tony Blair has said his Labor party will not cave in despite poor poll ratings, backbench revolts, and protests over hunting and the Iraq war."
1,Exam board clears Harry,"London, Oct. 16: Prince Harry was cleared yesterday of cheating in his art A-level by the examination board that set and marked his papers."
1,"Alleged vigilantes show videos of US, UN contacts","KABUL, Afghanistan -- Three Americans accused of torturing prisoners at a private jail played videos at their trial yesterday showing a top Afghan official pledging his full support to the alleged vigilantes, then sending his security force on a raid with them."
1,Darfur peace talks hobble along amid bitter disputes over security (AFP),AFP - Delegates at peace talks to end a conflict in Sudan's western Darfur region traded bitter accusations of ceasefire violations as African Union mediators battled to keep the conference on track.
1,"Iraq Insurgents Kill Top Police, Hit U.S. Convoy (Reuters)","Reuters - Gunmen killed three high-ranking\Iraqi police officers in two separate attacks on Saturday,\among a daily round of bombings and ambushes targeting U.S.\forces and their Iraqi allies."
1,Norway Fails to Break Deadlock to Revive Sri Lanka Peace Talks,"Norway, which brokered a cease-fire between the Sri Lanka government and the rebel Liberation Tigers of Tamil Eelam, failed to break the deadlock to revive peace talks key to the South Asian island #39;s economic growth."
1,Tibetans Say Dalai Lama May Not Return in This Life (Reuters),"Reuters - It is 45 years since Tibet's\god-king, the Dalai Lama, fled his homeland on horseback as\Chinese shells rained down on his capital. Many Tibetans do not\expect to see him again, or not in his current incarnation."
1,More PE Time May Fight Child Obesity,"Just an extra hour of exercise a week could significantly cut obesity among young overweight girls, according to a study that researchers say could lead to major changes in the way schools fight obesity.    The study - the largest look yet at obesity among young children - did not show the same results for boys, possibly because they generally get more exercise than girls..."
1,Nephew Suggests Arafat's Death Unnatural (AP),"AP - Yasser Arafat's nephew said Saturday his uncle may have died an ""unnatural"" death, a statement certain to renew speculation among Palestinians and in the rest of the Arab world where many already believe the late leader was poisoned despite Israel's repeated and vehement denials."
1,Guantanamo terror hearing halted,A US federal court halts proceedings at Guantanamo Bay against a former driver for Osama Bin Laden.
1,Hostage murder to hurt Koizumi,JAPAN #39;S troop deployment in Iraq beyond December is at risk as Prime Minister Junichiro Koizumi braces for a wave of public anger over the nightmare ending to the country #39;s second Baghdad hostage crisis.
1,Hamas Gunmen Kill Alleged Collaborator in Gaza," GAZA (Reuters) - Hamas gunmen on Saturday killed a young  Palestinian they accused of helping Israel assassinate Hamas  leader Sheikh Ahmed Yassin and other militants, calling it a  warning to others not to collaborate with Israel."
1,2 children killed in Gaza explosion,"Two Palestinian children were killed Friday in the explosion of an apparent roadside bomb near Khan Younis in Gaza, reports said. But Palestinian sources said the children, an 8 "
1,Bremer Criticizes Lack of Troops in Iraq,The U.S. official said Monday that the United States made two major mistakes: not deploying enough troops and then not containing the violence immediately after the ouster of Saddam Hussein.
1,Ivory Coast military planes attack ex-rebel Bouake,"ABIDJAN (AFP) - Two Ivory Coast military aircraft carried out a second raid on Bouake, the stronghold of the former rebel New Forces (FN) in the divided west African country, a French military source told AFP."
1,Deliberations Begin in Air India Bomb Trial,"Nearly two decades after Air India Flight 182 exploded over the Atlantic Ocean killing 329 people, the fate of the two Sikh extremists charged with the bombing is finally in hands of a judge."
1,"Russian Government Approves Kyoto, Sends to Parliament (Reuters)","Reuters - Russia's government approved the Kyoto\Protocol on Thursday and sent the climate change pact to the\State Duma, the lower house of parliament, for ratification."
1,Iran Says It Won't Halt Nuclear Technology Drive (Reuters),Reuters - Iran Sunday rejected European demands it\abandon sensitive nuclear activities but reiterated its\readiness to provide assurances that its atomic ambitions are\entirely peaceful.
1,Musharraf Ally Sworn in As Pakistan PM,Pakistan #39;s economic czar Shaukat Aziz was sworn in as prime minister Saturday and said his government #39;s greatest challenge would be combatting terrorism and maintaining law and order.
2,Second Andre win in a row boosts US gold medal hopes,"Andre Dirrell, fighting with a tattoo of his grandfather #39;s face on his back, assured the United States of at least two boxing medals Wednesday by narrowly beating Cuba #39;s Yordani Despaigne to advance to the Olympic middleweight semifinals."
2,NFL Game Summary - Kansas City at New Orleans,"Tight end Tony Gonzalez caught six passes for 71 yards for the Chiefs, who have scored 38 points on their initial drive of the game this season...Safety Jay Bellamy and Fakhir Brown each made nine tackles for the Saints, whose last home win over Kansas "
2,Team as we know it is history,"The news comes fast and furious. Pedro Martinez goes to Tampa to visit George Steinbrenner. Theo Epstein and John Henry go to Florida for their turn with Pedro. Carl Pavano comes to Boston to visit Curt Schilling. Jason Varitek says he's not a goner. Derek Lowe is a goner, but he says he wishes it could be different. Orlando Cabrera ..."
2,Colts carry hot streak into Detroit,"The Indianapolis Colts have been on the fast track since October gave way to November. Thursday in Detroit #39;s Ford Field, they #39;ll share the traditional Thanksgiving Day "
2,NCAA denies reinstatement request for Mike Williams,"The NCAA refused to reinstate Southern California All-American Mike Williams on Thursday, leaving the star receiver unable to rejoin the top-ranked Trojans after being shut out of the NFL draft by the courts."
2,"Cubs, Marlins Split","The Cubs briefly lead the NL wild-card standings after winning the first game of a doubleheader with the Marlins, but lose the sceond."
2,"Mutombo says he #39;s being traded to Rockets; will back up, mentor &lt;b&gt;...&lt;/b&gt;","Dikembe Mutombo, 38, has agreed to a sign-and-trade deal that will send him from the Chicago Bulls to Houston in exchange for Eric Piatkowski, Adrian Griffin and Mike Wilks, the Houston Chronicle reports."
2,NL notables,Montreal's Tony Armas Jr. was a late scratch for his start at Philadelphia because of tendinitis in his right shoulder.
2,It #39;s on to LA for the Giants,"Bee Staff Writer. SAN DIEGO - The San Diego Padres returned the favor, and the playoff-chasing Giants gladly accepted it before a disappointed record crowd of 45,389 at Petco Park."
2,Yankees Seek to Keep Pitcher Jon Lieber (AP),"AP - After watching their starting pitchers struggle for much of the season, the New York Yankees would like to bring Jon Lieber back for 2005."
2,Chelsea v Porto,Defender Wayne Bridge is in contention for Chelsea after missing the weekend win at Middlesbrough due to a knock suffered in the draw against Tottenham.
2,Badgers fans hyped about teams undefeated season,"Never in the University of Wisconsin football programs 115-year history have the Badgers been 10-0. That could happen today in East Lansing, Mich."
2,"Brown Struggles Early, but Yankees End It Fast","Kevin Brown flirted with danger in the early innings, allowing the Blue Jays to take a 4-0 edge before the Yankees finally solved the Toronto lefthander Ted Lilly."
2,She #39;s Archie in doubt for cup,Last year #39;s Melbourne Cup runner-up She #39;s Archie is in grave doubt to take her place in this year #39;s field after missing trackwork yesterday morning because of  quot;general soreness quot;.
2,Bentley comes home just ahead of NE-10 crowd,"The Northeast-10 Conference race is entering the final third of the season, and the four teams atop the standings are separated by just a half-game."
2,Brazilian striker dies during Indian club match,Brazilian striker Cristiano de Lima Jr died yesterday after collapsing on the field during a domestic club tournament in the southern Indian city of Bangalore.
2,Turnovers cost Bengals in tough loss,"To beat the defending Super Bowl champion New England Patriots anywhere, let alone at Gillette Stadium, it takes a spotless effort."
2,Yankees beat Twins 6-to-5,The New York Yankees beat the Twins 6-to-5 Saturday to advance to the AL Championship. They will play the Boston Red Sox. Ruben Sierra hit a three-run homer in the eighth inning.
2,Brockton has its lines down pat,Brockton reached the postseason by controlling the line of scrimmage and it wasn't about to change its game plan.
2,Spotlight shines on quarterbacks,"They couldn't be more different. One is the prototype quarterback, seemingly built using the create-a-player function from a video game, standing tall in the pocket and firing laser beams across the field."
2,Ravens - Bills: Game Notes,"COMPOSED: With Lewis serving the first game of his two-game suspension for violating the NFL substance-abuse policy, Chester Taylor was effective and decisive in his debut."
2,Report: Pennington Set to Sign Extension with Jets (Reuters),Reuters - The New York Jets and\quarterback Chad Pennington are close to a deal that would make\the quarterback the highest- paid player in franchise history.
2,Fiddling while Madrid burns,The extraordinary news that Jos Antonio Camacho offered up his resignation on the Sunday after the Espanyol defeat was a fitting end to a fascinating week in La Liga.
2,Nebraska holds on for victory,Nebraska capitalized on four Pittsburgh turnovers and batted down a pass in the end zone on the game's final play yesterday to preserve a 24-17 win in the first meeting of the teams since 1958.
2,Ricky Must Pay,"An arbitrator ruled yesterday that tailback Ricky Williams, who retired just before training camp, must repay the Dolphins \$8.6 million."
2,Lehmann gives evidence at hearing into Hookes #39; death,Darren Lehmann gave evidence Monday at the committal hearing of a man charged in the death of former international cricketer David Hookes.
2,Rescue mission for The Rocket,"Not that the Astros were tight heading home down 0-2 to the Cardinals, but knowing Roger Clemens would be taking the mound for Saturday #39;s Game 3 of the National League Championship Series had to be a comforting thought."
2,Boxing: Khan will keep feet on ground,TEENAGE boxing sensation Amir Khan punched is way to an Olympic silver medal yesterday - then worried about his homework and passing his driving test.
2,No Urban renewal for fading Notre Dame,"NEW YORK - When Notre Dame fired Tyrone Willingham earlier this week, there was a strong feeling among certain influential Board of Trustees members that the university had to move immediately or risk losing coveted Utah coach Urban Meyer to another school "
2,James fumbles away Colts #39; chances,"Not once, but twice Edgerrin James thought that his knee had touched the ground, that he had put the Indianapolis Colts in a position to score points."
2,Former star Murphy testifies in sex assault trial,"HOUSTON - Taking the stand in his own defense, Hall of Fame basketball player Calvin Murphy denied allegations that he sexually abused five of his 10 daughters."
2,Orgeron to finalize deal with Rebels,"Ed Orgeron, Southern California #39;s assistant head coach and defensive line coach, has agreed to become the new coach at Mississippi, USC athletic department sources have told ESPN."
2,JETS STARRING IN  #39;SURVIVOR #39;,"With Quincy Carter filling in for the injured Chad Pennington, the Jets #39; season is far from over. Just listen to the TV football experts."
2,Italian carmaker revels on home course,"MONZA, Italy -- Brazilian Rubens Barrichello led a Ferrari 1-2 in the Italian Grand Prix on Sunday to trigger a homecoming party for the Formula One champions."
2,Baseball #39;s image getting Creamed,"it #39;s the sport that won #39;t die, no matter what. You can have gamblers, psychotic fans, spouses that blab and players who cork."
2,Francis Makes Magic in Opener,"Steve Francis completed a spectacular debut with a driving layup just before the final horn Monday night, leading the Magic to a 93-92 victory over the Milwaukee Bucks in the NBA season opener for both teams."
2,Five Cities to Make Olympic Presentations (AP),AP - IOC president Jacques Rogge said the five cities bidding for the 2012 Olympics accepted his advice and agreed to stop complaining about each other.
2,Hurtin #39; for certain Grossman injured late in Bears #39; loss to &lt;b&gt;...&lt;/b&gt;,"Player of the game: Minnesota QB Daunte Culpepper passed for 248 yards and two TDs, and also ran for a score. Key stat: The Bears had 14 penalties for 101 yards."
2,Tennis Masters - Houston USA,"Though Tim Henman may be considerably more senior than some of his more illustrious opponents at this weeks Tennis Masters Cup, he isnt quite old enough to recall the Apollo programmes famous moon shots and the sound of Mission Control at Houston "
2,Bengals finish strong,"BALTIMORE -- First, Carson Palmer tossed the ball all over the field during his finest day in the NFL."
2,"Some won, some lost, but Greece triumphed over all","ATHENS - We owe them an apology, oh yes we do. The Greeks pulled off the Olympic Games after we said they did not have a prayer, and now there #39;s but one way to make it right: The Summer Games belong here "
2,Australia cruise into semifinals,"London, Sept. 16. (PTI): World Champions Australia sounded a stern warning to their rivals as they thumped New Zealand by seven wickets in a Group A league match and entered the semifinals of the ICC Champions Trophy one-day cricket tournament."
2,Early to rise? Not for UConn," quot;I think the game played out probably the way I thought it would play out, quot; he said.  quot;I can #39;t say that I #39;m really, really that surprised."
2,Henman gains Masters place,What had appeared a potentially awkward couple of days for Tim Henman were transformed into sweetness and light yesterday morning when he qualified for the eight-man end-of-season Masters Cup in Houston in a fortnight #39;s time without the need to win a 
2,Anderson makes NHRA history with US Nationals win,"Greg Anderson has so dominated Pro Stock this season that his championship quest has evolved into a pursuit of NHRA history. By Bob Hesser, Racers Edge Photography."
2,Man Guilty in Death of Olympian #39;s Brother,"LOCK HAVEN, Pa. Oct. 14, 2004 - A former college football player was convicted of murder Thursday in the beating death of the brother of Olympic wrestler Sara McMann."
2,"Falcons keep heat on Bulger, RBs","He #39;s a cool guy, a borderline lunatic, someone who can jam the hell out of a Strat. He #39;s got a temper that #39;s quicker than Michael Vick and spent some time last week talking football "
2,'Dream Team' Out of Gold Race After Loss to Argentina, ATHENS (Reuters) - The U.S. men's basketball team was  beaten by Argentina and booed off the court by the crowd on  Friday as it was denied an Olympic gold medal for the first  time since 1992 when NBA players started competing.
2,Curacao Rallies to Beat Taiwan 9-8 in LLWS (AP),"AP - Down four runs with only three outs left, Curacao manager Vernon Isabella thought his team's run for a championship was over. That was until Jonathan Schoop led an unlikely rally."
2,Charlotte Bobcats Pick Up Option on Ely (AP),AP - The Charlotte Bobcats picked up the option on center Melvin Ely for the 2005-06 season.
2,Cavaliers Flatten Zips,"Wali Lundy runs for three touchdowns for the third straight game and Marques Hagans threw two scoring passes to Heath Miller as Virginia stifled Akron, 51-0, Saturday."
2,Anthony cited for marijuana possession,"Carmelo Anthony was cited for marijuana possession before getting on a team flight last week, but the Denver Nuggets #39; star says the drug was left in his backpack by a friend."
2,Women's Preview: Time for Some New Stars (AP),"AP - No Diana Taurasi, no Alana Beard. Nicole Ohlde is gone and so is Nicole Powell. Lindsay Whalen and Kelly Mazzante? They've moved on, too. A class that might have been the best in women's basketball is no longer around. It's time for some new stars to emerge."
2,Woodgate re-injures thigh during scrimmage,"Madrid, Spain (Sports Network) - Real Madrid and English international defender Jonathan Woodgate re-injured his left thigh during practice Thursday."
2,Homer-happy Mariners end skid,A four-pitch sequence in the fifth inning Friday night produced something the Mariners hadn #39;t done in nearly eight years. Miguel Olivo hit a home run to left-center field.
2,Durham provides Dark Blues masterclass,"Oxford, the pre-match favourites, reclaimed the MMC Trophy in one of the better Varsity matches for some time here yesterday. But this, the 123rd staging of the annual amateur "
2,Wilkinson named as England captain,"Flyhalf Jonny Wilkinson, who kicked the winning drop goal in last November #39;s World Cup final against Australia, has been named as England captain."
2,Former UConn Aide Pleads in Sex Case (AP),AP - The Connecticut assistant men's basketball coach who resigned after being arrested in a prostitution sting agreed Monday to perform 10 days of community service and undergo counseling.
2,"College Basketball: Pitt, Texas Roll to Easy Wins"," NEW YORK (Sports Network) - Carl Krauser scored 17 points,  grabbed seven rebounds and handed out four assists to lead No.  11 Pittsburgh over Memphis, 70-51, in the Jimmy V Classic from  New York's famed Madison Square Garden."
2,Wildcats on the rise with Santos,"The University of New Hampshire's impressive 51-40 road victory over 10th-ranked Villanova Saturday night vaulted the Wildcats three spots to ninth in this week's Sports Network 1-AA football poll, while dropping Villanova to 14th."
2,Suzuki singles into history,"SEATTLE - Chasing a nearly forgotten ghost of the game, Ichiro Suzuki broke one of baseball #39;s oldest records Friday night, smoking a single up the middle for his 258th hit of the year and breaking George Sisler #39;s record for the most hits in a season "
2,CLASS ACT,ALAN Shearer and Patrick Kluivert teamed up to fire Newcastle into the group stage of the Uefa Cup. It was a striking master-class in Tel Aviv.
2,Sweeping giants: US dominates 200,"A disruptive Greek chorus of whistles, chanting, and catcalls could not derail a crowd-silencing American sweep in the men #39;s 200-meter dash at the Olympic Games last night."
2,Steelers Backups End Bills' Playoff Hopes,"The Pittsburgh Steelers are so good that they ended Buffalo's playoff hopes with their backups. Fourth-string running back Willie Parker had 102 yards rushing and backup linebacker James Harrison returned a fumble 18 yards for a touchdown, helping seal the Steelers' 29-24 win over Buffalo on Sunday. The Steelers won their 14th straight to match the record set by Miami in 1972 and became just the fourth team in NFL history to finish 15-1."
2,Rauffer Beats Favorites to Win Downhill," VAL GARDENA, Italy (Reuters) - Max Rauffer became the first  German man in nearly 13 years to win an Alpine ski World Cup  race when he beat the favorites in a wind-affected downhill on  Saturday."
2,Eagles not striking but can go bowling,"Tom O'Brien just couldn't figure it out. The Boston College coach seemed momentarily stumped when asked to take stock of how the Eagles had reached this point of the season. With three games left, BC has a 6-2 record (2-1 Big East), is ranked No. 24 in the Associated Press Top 25 (No. 25 in the ESPN/USA Today coaches poll), ..."
2,"Before Rape Arrest, Bryant Expressed Fear to Police","In his first comments to the police on the night he was accused of rape, the basketball star Kobe Bryant was scared about what happened and may have conceded lying to "
2,Leaving behind their legacy,"A seasonlong celebration commemorating 20 years in NASCAR has turned to mourning for car owner Rick Hendrick, whose father died in July and whose brother and only son died Sunday in a private plane crash."
2,LEVERKUSEN LEAVE IT LATE,Two goals in five minutes rescued a point for Bayer Leverkusen as they staged a late fightback against Nurnburg. Sven Muller opened the scoring for the visitors and a Diego Placente own goal midway through 
2,Soldering plays Spadea next,"LYON, France -- Robin Soderling made sure none of the top four seeds would reach the semifinals of the Lyon Tennis Grand Prix. Soderling upset the highest seed remaining, No."
2,BENITEZ PREPARES FOR BRAZILIANS,Rafael Benitez accepts he must plan to stop a Brazilian double act if Liverpool are to emerge unscathed from their European examination in Greece.
2,Federer crushes Hewitt to win US Open,Swiss maestro Roger Federer has produced a devastating display of tennis to crush Lleyton Hewitt in a one-sided US Open final at Flushing Meadows.
2,In The Fast Lane: Busch wins NASCAR title,"HOMESTEAD, Fla. -- Kurt Busch got his first big break in NASCAR by winning a 1999 talent audition nicknamed  quot;The Gong Show. quot; He was selected from dozens of unknown, young race drivers to work for one of the sport #39;s most famous team owners, Jack Roush."
2,Bailey welcomes Azeri to the Breeders #39; Cup Classic,Jerry Bailey greeted the shift of the champion mare Azeri to the \$4 million Breeders #39; Cup Classic as a double shot of good news.
2,THIS WEEKS COLTS OPPONENT,"Colts.com. Synopsis: The Colts, in their first game of the season, will play the team they faced in their last game last season: the New England Patriots."
2,Hamm gold by a sliver,"ATHENS - Paul Hamm feared he had blown a shot for a medal when he stumbled at the end of his performance in the vault, his fourth event in the six-event men #39;s individual all-around final. But the freckle-faced gymnast from Wisconsin ..."
2,"BoSox Rip N.Y. 12-5, Protect AL East Hope (AP)",AP - The Boston Red Sox blew out the Yankees and made sure New York can't clinch the AL East in Fenway Park. Manny Ramirez doubled in the tiebreaking run during a seven-run eighth on Saturday night and the Red Sox beat New York 12-5 to preserve their chances of an AL East title. Jason Varitek and Doug Mirabelli each doubled in two runs in the inning.
2,NHLPA Disputes Claims,"The NHLPA said on Thursday that its 24 percent salary rollback would produce a \$275.5 million profit for teams as opposed to a \$568.5 million loss, as stated by the NHL."
2,Transsexual drives off to score a first on the golf course,"Golf is not a sport renowned for being at ease with gender issues. Many of the game #39;s great clubs refuse to admit women, and the occasional inclusion of women in men #39;s professional tournaments has caused consternation from Arran to Augusta."
2,"Federer, Hewitt ready for US Open rematch in Houston","Houston, TX (Sports Network) - Reigning world No. 1 Roger Federer and former top-ranked star Lleyton Hewitt will meet in a blockbuster  quot;Red Group quot; round- robin match Wednesday at the ATP #39;s season-ending Tennis Masters Cup."
2,Sharing wealth was golden idea,"Kindergarten must have been good to LeBron James. With sharing at the top of that year's lesson plan, James might have collected a lot of gold stars for his behavior."
2,Woe are the Red Sox? maybe next week,"And, so, pending World Series gaffes, please, what we know about the Boston Red Sox is that they are not, after all, immune to the Heimlich maneuver."
2,Knicks #39; defense consistently bad,"The list of  quot;bests, highests and biggests quot; accomplished by Toronto in its 114-91 blowout of the Knicks on Wednesday night at the Air Canada Centre really was quite impressive."
2,Brooks Returns,Star sophomore linebacker Ahmad Brooks is back with the first string after a curious demotion prior to the season-opening win over Temple last Saturday.
2,Australian Football: Melbourne sidelined as Brisbane and Port &lt;b&gt;...&lt;/b&gt;,The Australian Football League Grand Final between Brisbane Lions and Port Adelaide on Saturday marks an epoch for Australia #39;s favorite spectator sport.
2,Bad case of shakes,"As long as the last ember flickered in their fading bonfire of opportunity, the Red Sox planned to keep hope alive. As long as they clung to a faint chance of catching the Yankees for the American League East title, they vowed to play as if they could achieve the unfathomable."
2,Favre's Mother Falls Ill on Book Tour (AP),"AP - Brett Favre's mother was hospitalized Thursday with stomach pains, interrupting her book tour."
2,Saturday qualifying at Japanese GP postponed due to typhoon,Qualifying for the Japanese Grand Prix scheduled for Saturday was postponed Friday because a typhoon was approaching the area. Race organizers and Formula One moved pre-qualifying and 
2,Singh tops \$10 million with win,Singh claimed his ninth win Sunday - the most on the PGA Tour in 54 years - as he cruised to a five-stroke victory at the \$5 million Chrysler Championship.
2,"Tennis: Agassi, Hewitt Advance to Legg Mason Semifinals","Two former world-number-one tennis stars, American Andre Agassi and Lleyton Hewitt of Australia, have advanced to the semifinals of the Legg Mason Classic in Washington."
2,American Aaron Peirsol's Gold Restored on Appeal, ATHENS (Reuters) - Aaron Peirsol was awarded gold in the  men's 200 meters backstroke at the Athens Olympics on Thursday  after winning an appeal against his disqualification then  surviving a protest from the British and Austrian teams.
2,Ball kids get makeover at Madrid tennis event,"Women in black tank tops and white, knee-length skirts chased errant shots during Albert Costa #39;s 6-2, 5-7, 7-5 victory over Irakli Labadze."
2,D-Backs made wise choice,"Fresh off being the worst team in baseball, the Arizona Diamondbacks set a new record this week: fastest team to both hire and fire a manager."
2,Nedved quits international scene,Czech Republic midfielder Pavel Nedved has announced he is quitting international football to concentrate on his club career with Juventus.
